editor_occurrences_scan p50=107.785ms p95=127.859ms max=130.089ms
editor_add_cursor_next_match p50=36.6302ms p95=43.5769ms max=44.3487ms
editor_shaping_multi_caret p50=150.566ms p95=175.47ms max=178.237ms
editor_toggle_comment_large_selection p50=15.0543ms p95=53.9958ms max=58.3226ms
editor_mouse_selection_drag p50=229.099ms p95=268.812ms max=273.225ms
menu_hover_switch p50=4.7357ms p95=233.707ms max=259.148ms
menu_popup_hover_rows p50=2.74115ms p95=240.195ms max=266.579ms
editor_sort_lines_large p50=19.3804ms p95=56.156ms max=60.2422ms
editor_snippet_expand p50=2.22343ms p95=13.8606ms max=15.1536ms
editor_snippet_placeholder_edit p50=2.22197ms p95=13.0256ms max=14.226ms
editor_save_normalization p50=11.9651ms p95=18.4421ms max=19.1618ms
editor_indent_detect_open p50=12.4562ms p95=22.4016ms max=23.5067ms
long_soak_8h p50=3007.69ms p95=3236.88ms max=3262.35ms
file_finder_cold p50=5.00107ms p95=19.4079ms max=21.0086ms
git_sidebar_activate p50=75.399ms p95=104.996ms max=108.284ms
search_first_result p50=15.4988ms p95=31.2635ms max=33.0151ms
editor_bracket_match_caret_motion p50=71.7683ms p95=290.273ms max=314.552ms
editor_auto_close_typing p50=3350.67ms p95=3377.05ms max=3379.98ms
editor_smart_indent_typing p50=3207.59ms p95=3233.14ms max=3235.98ms
editor_surround_multi_caret p50=520.29ms p95=740.989ms max=765.511ms
