cold_startup_no_project p50=5.00982ms p95=324.236ms max=359.706ms
multi_project_switch p50=57.923ms p95=85.8151ms max=88.9143ms
multi_tab_cycle p50=259.94ms p95=271.697ms max=273.004ms
typing_small_file p50=2.37694ms p95=5.49612ms max=5.84269ms
typing_large_file p50=2.74558ms p95=6.34335ms max=6.7431ms
scroll_large_file p50=2.10889ms p95=5.25038ms max=5.59944ms
window_resize_stress p50=28.1166ms p95=39.1237ms max=40.3467ms
project_search_literal p50=55.7695ms p95=64.1215ms max=65.0495ms
project_search_regex p50=53.8281ms p95=62.3426ms max=63.2886ms
linter_on_save p50=124.572ms p95=129.796ms max=130.377ms
compare_tab_open p50=3.53821ms p95=8.41954ms max=8.96191ms
merge_tab_open p50=8.9773ms p95=246.968ms max=273.411ms
terminal_scroll_long_output p50=100.565ms p95=553.895ms max=604.265ms
cold_startup_small_project p50=5.81315ms p95=15.998ms max=17.1297ms
cold_startup_large_project p50=5.75029ms p95=17.537ms max=18.8466ms
switch_and_idle p50=99.7183ms p95=109.499ms max=110.586ms
editor_fold_recompute p50=1119.56ms p95=1344.77ms max=1369.8ms
editor_fold_viewport_refresh p50=429.959ms p95=436.379ms max=437.093ms
editor_sticky_scroll_scroll p50=422.76ms p95=434.153ms max=435.419ms
editor_indent_guides_paint p50=403.727ms p95=405.295ms max=405.469ms
editor_render_whitespace_paint p50=463.446ms p95=467.436ms max=467.879ms
