[perf] running scenario 1/1: editor_fold_recompute
[perf]    61.83 ms total |    58.52 ms | RuntimeSyntaxRegistry::EnsureInitialized
[perf]   103.40 ms total |    37.84 ms |                     TextViewport::OpenFile(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]   103.43 ms total |    37.87 ms |                   TabCoordinator::RestoreEditorView::OpenFile
[perf]   116.66 ms total |    51.10 ms |                 TabCoordinator::RestoreEditorView
[perf]   116.68 ms total |    51.13 ms |               TabCoordinator::EnsureEditorTabLoaded
[perf]   117.38 ms total |    51.82 ms |             TabCoordinator::Activate(index=16,path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]   117.38 ms total |    51.83 ms |           WorkspaceShell::InitializeCurrentProject::ActivateCurrentTabAfterStateLoad
[perf]   117.67 ms total |    54.41 ms |       WorkspaceShell::InitializeCurrentProject
[perf]   117.68 ms total |    54.42 ms |     ProjectCatalogService::ActivateProjectState::InitializeCurrentProject
[perf]   117.68 ms total |    54.42 ms |   ProjectCatalogService::ActivateProjectState(root=/home/gef/Documents/projects/microide/tests/perf/fixtures/switch_project_b)
[perf]   117.68 ms total |    54.42 ms | ProjectCatalogCoordinator::Activate
[perf] scenario=editor_fold_recompute iteration=1/1
[perf]   152.70 ms total |    34.73 ms |   TextViewport::OpenFile(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]   166.25 ms total |    48.32 ms | TabCoordinator::OpenFileInNewTab(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  1214.44 ms total |  1046.10 ms | WorkspaceRootView::Render
[perf]  2902.82 ms total |  1644.10 ms | WorkspaceRootView::Render
[perf]  2915.33 ms total |    11.39 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  2915.35 ms total |    11.40 ms | TextViewport::Undo
[perf]  2940.27 ms total |    11.51 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  2940.29 ms total |    11.53 ms | TextViewport::Undo
[perf]  2965.08 ms total |    11.42 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  2965.10 ms total |    11.44 ms | TextViewport::Undo
[perf]  2990.41 ms total |    11.64 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  2990.43 ms total |    11.66 ms | TextViewport::Undo
[perf]  3015.75 ms total |    11.61 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3015.77 ms total |    11.63 ms | TextViewport::Undo
[perf]  3040.95 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3040.96 ms total |    11.67 ms | TextViewport::Undo
[perf]  3065.80 ms total |    11.58 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3065.82 ms total |    11.60 ms | TextViewport::Undo
[perf]  3090.87 ms total |    11.81 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3090.89 ms total |    11.83 ms | TextViewport::Undo
[perf]  3115.98 ms total |    11.57 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3116.00 ms total |    11.59 ms | TextViewport::Undo
[perf]  3140.92 ms total |    11.61 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3140.94 ms total |    11.63 ms | TextViewport::Undo
[perf]  3165.80 ms total |    11.56 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3165.81 ms total |    11.57 ms | TextViewport::Undo
[perf]  3190.82 ms total |    11.60 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3190.84 ms total |    11.62 ms | TextViewport::Undo
[perf]  3215.67 ms total |    11.37 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3215.69 ms total |    11.39 ms | TextViewport::Undo
[perf]  3240.56 ms total |    11.57 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3240.57 ms total |    11.58 ms | TextViewport::Undo
[perf]  3265.35 ms total |    11.41 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3265.37 ms total |    11.43 ms | TextViewport::Undo
[perf]  3290.28 ms total |    11.42 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3290.31 ms total |    11.46 ms | TextViewport::Undo
[perf]  3315.78 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3315.81 ms total |    11.68 ms | TextViewport::Undo
[perf]  3340.85 ms total |    11.60 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3340.88 ms total |    11.63 ms | TextViewport::Undo
[perf]  3365.74 ms total |    11.44 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3365.76 ms total |    11.46 ms | TextViewport::Undo
[perf]  3390.84 ms total |    11.76 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3390.86 ms total |    11.78 ms | TextViewport::Undo
[perf]  3415.99 ms total |    11.62 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3416.01 ms total |    11.65 ms | TextViewport::Undo
[perf]  3441.03 ms total |    11.66 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3441.05 ms total |    11.68 ms | TextViewport::Undo
[perf]  3465.88 ms total |    11.65 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3465.90 ms total |    11.67 ms | TextViewport::Undo
[perf]  3491.34 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  3491.37 ms total |    11.76 ms | TextViewport::Undo
[perf]  3533.52 ms total |     9.23 ms |   ProjectCatalogCoordinator::PersistInactiveEntriesForShutdown::Entry(index=7,root=/home/gef/Documents/projects/microide/tests/perf/fixtures/switch_project_b)
[perf]  3533.55 ms total |     9.26 ms | ProjectCatalogCoordinator::PersistInactiveEntriesForShutdown
[perf] running scenario 2/2: editor_auto_close_typing
[perf]  3579.52 ms total |    26.90 ms |                   TextViewport::OpenFile(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  3579.54 ms total |    26.92 ms |                 TabCoordinator::RestoreEditorView::OpenFile
[perf]  3588.66 ms total |    36.04 ms |               TabCoordinator::RestoreEditorView
[perf]  3588.68 ms total |    36.06 ms |             TabCoordinator::EnsureEditorTabLoaded
[perf]  3589.20 ms total |    36.58 ms |           TabCoordinator::Activate(index=16,path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  3589.21 ms total |    36.60 ms |         WorkspaceShell::InitializeCurrentProject::ActivateCurrentTabAfterStateLoad
[perf]  3589.44 ms total |    38.49 ms |       WorkspaceShell::InitializeCurrentProject
[perf]  3589.46 ms total |    38.50 ms |     ProjectCatalogService::ActivateProjectState::InitializeCurrentProject
[perf]  3589.46 ms total |    38.50 ms |   ProjectCatalogService::ActivateProjectState(root=/home/gef/Documents/projects/microide/tests/perf/fixtures/switch_project_b)
[perf]  3589.46 ms total |    38.50 ms | ProjectCatalogCoordinator::Activate
[perf] scenario=editor_auto_close_typing iteration=1/1
[perf]  3613.67 ms total |    24.11 ms |   TextViewport::OpenFile(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  3623.00 ms total |    33.48 ms | TabCoordinator::OpenFileInNewTab(path=/home/gef/Documents/projects/microide/tests/perf/fixtures/editor_essentials_50k_cpp/synthetic_kernel.cpp)
[perf]  4540.07 ms total |   916.00 ms | WorkspaceRootView::Render
[perf]  4555.12 ms total |    11.59 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4555.14 ms total |    11.61 ms | WorkspaceEventDispatcher::Handle
[perf]  4566.96 ms total |    11.81 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4566.97 ms total |    11.83 ms | TextViewport::Undo
[perf]  4578.78 ms total |    11.80 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4578.79 ms total |    11.82 ms | WorkspaceEventDispatcher::Handle
[perf]  4590.52 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4590.54 ms total |    11.74 ms | TextViewport::Undo
[perf]  4602.30 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4602.31 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  4614.01 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4614.04 ms total |    11.72 ms | TextViewport::Undo
[perf]  4625.76 ms total |    11.71 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4625.77 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  4637.49 ms total |    11.72 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4637.51 ms total |    11.74 ms | TextViewport::Undo
[perf]  4649.28 ms total |    11.76 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4649.29 ms total |    11.78 ms | WorkspaceEventDispatcher::Handle
[perf]  4660.98 ms total |    11.69 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4661.00 ms total |    11.70 ms | TextViewport::Undo
[perf]  4672.74 ms total |    11.74 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4672.76 ms total |    11.76 ms | WorkspaceEventDispatcher::Handle
[perf]  4684.49 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4684.50 ms total |    11.74 ms | TextViewport::Undo
[perf]  4696.22 ms total |    11.72 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4696.23 ms total |    11.73 ms | WorkspaceEventDispatcher::Handle
[perf]  4707.96 ms total |    11.73 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4707.97 ms total |    11.74 ms | TextViewport::Undo
[perf]  4719.71 ms total |    11.73 ms |   WorkspaceEventDispatcher::Handle::TextInput
[perf]  4719.72 ms total |    11.75 ms | WorkspaceEventDispatcher::Handle
[perf]  4731.26 ms total |    11.54 ms |   TextViewport::Undo::ApplyHistoryEntry
[perf]  4731.27 ms total |    11.55 ms | TextViewport::Undo
