editor_occurrences_scan p50=126.087ms p95=140.809ms max=142.445ms
editor_add_cursor_next_match p50=40.4218ms p95=44.2651ms max=44.6921ms
editor_shaping_multi_caret p50=165.616ms p95=180.952ms max=182.655ms
editor_toggle_comment_large_selection p50=34.0338ms p95=51.6556ms max=53.6136ms
editor_mouse_selection_drag p50=237.97ms p95=243.992ms max=244.661ms
menu_hover_switch p50=134.438ms p95=251.22ms max=264.196ms
menu_popup_hover_rows p50=131.86ms p95=248.046ms max=260.955ms
editor_sort_lines_large p50=38.4067ms p95=55.356ms max=57.2393ms
editor_snippet_expand p50=8.13458ms p95=13.3013ms max=13.8754ms
editor_snippet_placeholder_edit p50=5.56868ms p95=8.51222ms max=8.83928ms
editor_save_normalization p50=18.1722ms p95=23.2626ms max=23.8282ms
editor_indent_detect_open p50=16.145ms p95=19.9929ms max=20.4205ms
long_soak_8h p50=3136.56ms p95=3253.09ms max=3266.04ms
file_finder_cold p50=20.701ms p95=34.8799ms max=36.4553ms
git_sidebar_activate p50=90.6671ms p95=121.321ms max=124.727ms
search_first_result p50=22.475ms p95=28.583ms max=29.2617ms
editor_bracket_match_caret_motion p50=194ms p95=304.722ms max=317.024ms
editor_auto_close_typing p50=3256.32ms p95=3353.12ms max=3363.88ms
editor_smart_indent_typing p50=3268.73ms p95=3304.96ms max=3308.98ms
editor_surround_multi_caret p50=645.002ms p95=759.168ms max=771.853ms
